Order ID,Date,Customer ID,Company Name,Sales Person,Region,Item,Price,Quantity,Revenue,,,,,,,,,,
1,01-01-2018,11,Company K,Michael Fox,New Mexico,Item 2,199,3,597,,,,,,,,,,
2,02-01-2018,1,Company A,Anna Weber,Texas,Item 5,289,7,2023,,,,,,,,,,
3,03-01-2018,9,Company I,Kim Fishman,California,Item 4,159,3,477,,,,,,,,,,
4,03-01-2018,18,Company R,Oscar Knox,Arizona,Item 5,289,3,867,,,,,,,,,,
5,04-01-2018,16,Company P,Oscar Knox,Arizona,Item 3,69,4,276,,,,,,,,,,
6,04-01-2018,13,Company M,Michael Fox,New Mexico,Item 2,199,2,398,,,,,,,,,,
7,04-01-2018,17,Company Q,Andrew James,Arizona,Item 5,289,9,2601,,,,,,,,,,
8,05-01-2018,14,Company N,Michael Fox,New Mexico,Item 2,199,5,995,,,,,,,,,,
9,05-01-2018,20,Company T,Andrew James,Arizona,Item 1,399,5,1995,,,,,,,,,,
10,05-01-2018,3,Company C,Anna Weber,Texas,Item 2,199,0,0,,,,,,,,,,
11,05-01-2018,8,Company H,Laura Larsen,California,Item 5,289,9,2601,,,,,,,,,,
12,05-01-2018,6,Company F,Laura Larsen,California,Item 1,399,6,2394,,,,,,,,,, 
13,05-01-2018,9,Company I,Kim Fishman,California,Item 2,199,6,1194,,,,,,,,,,
14,05-01-2018,4,Company D,Anna Weber,Texas,Item 1,399,4,1596,,,,,,,,,,
15,05-01-2018,6,Company F,Kim Fishman,California,Item 2,199,2,398,,,,,,,,,,
16,06-01-2018,13,Company M,Michael Fox,New Mexico,Item 3,69,0,0,,,,,,,,,,
17,07-01-2018,14,Company N,Michael Fox,New Mexico,Item 5,289,0,0,,,,,,,,,,
18,07-01-2018,19,Company S,Oscar Knox,Arizona,Item 4,159,5,795,,,,,,,,,,
19,07-01-2018,10,Company J,Laura Larsen,California,Item 3,69,2,138,,,,,,,,,,
20,07-01-2018,5,Company E,Anna Weber,Texas,Item 1,399,3,1197,,,,,,,,,,
21,07-01-2018,10,Company J,Laura Larsen,California,Item 3,69,2,138,,,,,,,,,,
22,07-01-2018,11,Company K,Anne Lee,New Mexico,Item 5,289,6,1734,,,,,,,,,,
23,07-01-2018,8,Company H,Laura Larsen,California,Item 4,159,4,636,,,,,,,,,,
24,07-01-2018,12,Company L,Michael Fox,New Mexico,Item 1,399,2,798,,,,,,,,,,
25,08-01-2018,3,Company C,Ben Wallace,Texas,Item 1,399,0,0,,,,,,,,,,
26,08-01-2018,14,Company N,Michael Fox,New Mexico,Item 5,289,0,0,,,,,,,,,,
27,08-01-2018,14,Company N,Anne Lee,New Mexico,Item 2,199,1,199,,,,,,,,,,
28,08-01-2018,19,Company S,Andrew James,Arizona,Item 1,399,7,2793,,,,,,,,,,
29,09-01-2018,10,Company J,Laura Larsen,California,Item 2,199,3,597,,,,,,,,,,
30,09-01-2018,12,Company L,Anne Lee,New Mexico,Item 5,289,0,0,,,,,,,,,,
31,09-01-2018,6,Company F,Kim Fishman,California,Item 4,159,2,318,,,,,,,,,,
32,09-01-2018,6,Company F,Laura Larsen,California,Item 1,399,3,1197,,,,,,,,,,
33,10-01-2018,6,Company F,Laura Larsen,California,Item 3,69,2,138,,,,,,,,,,
34,11-01-2018,1,Company A,Ben Wallace,Texas,Item 2,199,8,1592,,,,,,,,,,
35,11-01-2018,16,Company P,Andrew James,Arizona,Item 2,199,5,995,,,,,,,,,,
36,11-01-2018,13,Company M,Anne Lee,New Mexico,Item 5,289,1,289,,,,,,,,,,
37,11-01-2018,13,Company M,Anne Lee,New Mexico,Item 1,399,4,1596,,,,,,,,,,
38,12-01-2018,20,Company T,Oscar Knox,Arizona,Item 1,399,3,1197,,,,,,,,,,
39,12-01-2018,19,Company S,Andrew James,Arizona,Item 3,69,8,552,,,,,,,,,,
40,12-01-2018,14,Company N,Michael Fox,New Mexico,Item 5,289,3,867,,,,,,,,,,
41,13-01-2018,9,Company I,Kim Fishman,California,Item 1,399,4,1596,,,,,,,,,,
42,13-01-2018,17,Company Q,Andrew James,Arizona,Item 3,69,5,345,,,,,,,,,,
43,13-01-2018,13,Company M,Anne Lee,New Mexico,Item 4,159,8,1272,,,,,,,,,,
44,13-01-2018,7,Company G,Laura Larsen,California,Item 1,399,5,1995,,,,,,,,,,
45,13-01-2018,12,Company L,Anne Lee,New Mexico,Item 5,289,4,1156,,,,,,,,,,
46,13-01-2018,14,Company N,Michael Fox,New Mexico,Item 4,159,7,1113,,,,,,,,,,
47,13-01-2018,17,Company Q,Oscar Knox,Arizona,Item 5,289,0,0,,,,,,,,,,
48,13-01-2018,16,Company P,Oscar Knox,Arizona,Item 3,69,1,69,,,,,,,,,,
49,13-01-2018,4,Company D,Ben Wallace,Texas,Item 4,159,5,795,,,,,,,,,,
50,13-01-2018,5,Company E,Ben Wallace,Texas,Item 4,159,7,1113,,,,,,,,,,
51,13-01-2018,19,Company S,Andrew James,Arizona,Item 1,399,6,2394,,,,,,,,,,
52,13-01-2018,1,Company A,Ben Wallace,Texas,Item 3,69,2,138,,,,,,,,,,
53,14-01-2018,17,Company Q,Andrew James,Arizona,Item 3,69,7,483,,,,,,,,,,
54,15-01-2018,8,Company H,Laura Larsen,California,Item 5,289,1,289,,,,,,,,,,
55,15-01-2018,7,Company G,Laura Larsen,California,Item 1,399,0,0,,,,,,,,,,
56,15-01-2018,20,Company T,Andrew James,Arizona,Item 3,69,9,621,,,,,,,,,,
57,15-01-2018,8,Company H,Laura Larsen,California,Item 2,199,5,995,,,,,,,,,,
58,15-01-2018,11,Company K,Michael Fox,New Mexico,Item 3,69,9,621,,,,,,,,,,
59,15-01-2018,9,Company I,Kim Fishman,California,Item 1,399,7,2793,,,,,,,,,,
60,15-01-2018,10,Company J,Laura Larsen,California,Item 2,199,3,597,,,,,,,,,,
61,16-01-2018,2,Company B,Anna Weber,Texas,Item 4,159,8,1272,,,,,,,,,,
62,17-01-2018,20,Company T,Andrew James,Arizona,Item 4,159,9,1431,,,,,,,,,,
63,17-01-2018,9,Company I,Laura Larsen,California,Item 5,289,7,2023,,,,,,,,,,
64,18-01-2018,9,Company I,Laura Larsen,California,Item 1,399,1,399,,,,,,,,,,
65,19-01-2018,9,Company I,Laura Larsen,California,Item 2,199,6,1194,,,,,,,,,,
66,19-01-2018,10,Company J,Laura Larsen,California,Item 5,289,3,867,,,,,,,,,,
67,20-01-2018,16,Company P,Oscar Knox,Arizona,Item 3,69,2,138,,,,,,,,,,
68,20-01-2018,13,Company M,Anne Lee,New Mexico,Item 2,199,8,1592,,,,,,,,,,
69,21-01-2018,19,Company S,Andrew James,Arizona,Item 2,199,8,1592,,,,,,,,,,
70,21-01-2018,6,Company F,Laura Larsen,California,Item 2,199,0,0,,,,,,,,,,
71,21-01-2018,17,Company Q,Oscar Knox,Arizona,Item 4,159,4,636,,,,,,,,,,
72,22-01-2018,15,Company O,Anne Lee,New Mexico,Item 1,399,4,1596,,,,,,,,,,
73,23-01-2018,15,Company O,Anne Lee,New Mexico,Item 4,159,1,159,,,,,,,,,,
74,23-01-2018,20,Company T,Oscar Knox,Arizona,Item 5,289,1,289,,,,,,,,,,
75,23-01-2018,13,Company M,Michael Fox,New Mexico,Item 5,289,5,1445,,,,,,,,,,
76,24-01-2018,18,Company R,Oscar Knox,Arizona,Item 3,69,7,483,,,,,,,,,,
77,24-01-2018,8,Company H,Laura Larsen,California,Item 3,69,2,138,,,,,,,,,,
78,24-01-2018,5,Company E,Ben Wallace,Texas,Item 5,289,1,289,,,,,,,,,,
79,24-01-2018,19,Company S,Oscar Knox,Arizona,Item 5,289,8,2312,,,,,,,,,,
80,24-01-2018,10,Company J,Kim Fishman,California,Item 5,289,3,867,,,,,,,,,,
81,24-01-2018,7,Company G,Laura Larsen,California,Item 1,399,6,2394,,,,,,,,,,
82,24-01-2018,5,Company E,Anna Weber,Texas,Item 3,69,1,69,,,,,,,,,,
83,24-01-2018,10,Company J,Laura Larsen,California,Item 3,69,2,138,,,,,,,,,,
84,25-01-2018,18,Company R,Andrew James,Arizona,Item 1,399,1,399,,,,,,,,,,
85,26-01-2018,4,Company D,Ben Wallace,Texas,Item 1,399,9,3591,,,,,,,,,,
86,26-01-2018,12,Company L,Michael Fox,New Mexico,Item 1,399,2,798,,,,,,,,,,
87,27-01-2018,17,Company Q,Andrew James,Arizona,Item 4,159,3,477,,,,,,,,,,
88,27-01-2018,12,Company L,Michael Fox,New Mexico,Item 3,69,2,138,,,,,,,,,,
